,imDbId,title,fullTitle,type,year,totalRating,totalRatingVotes,ratings,errorMessage
0,tt7462410,The Wheel of Time,The Wheel of Time (TV Series 2021– ),TVSeries,2021,0,84387,"{'rating': '10', 'percent': '25.4%', 'votes': '21408'}",
1,tt7462410,The Wheel of Time,The Wheel of Time (TV Series 2021– ),TVSeries,2021,0,84387,"{'rating': '9', 'percent': '14.1%', 'votes': '11874'}",
2,tt7462410,The Wheel of Time,The Wheel of Time (TV Series 2021– ),TVSeries,2021,0,84387,"{'rating': '8', 'percent': '20.1%', 'votes': '16979'}",
3,tt7462410,The Wheel of Time,The Wheel of Time (TV Series 2021– ),TVSeries,2021,0,84387,"{'rating': '7', 'percent': '14.6%', 'votes': '12285'}",
4,tt7462410,The Wheel of Time,The Wheel of Time (TV Series 2021– ),TVSeries,2021,0,84387,"{'rating': '6', 'percent': '7.4%', 'votes': '6209'}",
5,tt7462410,The Wheel of Time,The Wheel of Time (TV Series 2021– ),TVSeries,2021,0,84387,"{'rating': '5', 'percent': '4.3%', 'votes': '3610'}",
6,tt7462410,The Wheel of Time,The Wheel of Time (TV Series 2021– ),TVSeries,2021,0,84387,"{'rating': '4', 'percent': '2.5%', 'votes': '2141'}",
7,tt7462410,The Wheel of Time,The Wheel of Time (TV Series 2021– ),TVSeries,2021,0,84387,"{'rating': '3', 'percent': '2.5%', 'votes': '2112'}",
8,tt7462410,The Wheel of Time,The Wheel of Time (TV Series 2021– ),TVSeries,2021,0,84387,"{'rating': '2', 'percent': '2.3%', 'votes': '1964'}",
9,tt7462410,The Wheel of Time,The Wheel of Time (TV Series 2021– ),TVSeries,2021,0,84387,"{'rating': '1', 'percent': '6.9%', 'votes': '5805'}",





,imDbId,title,fullTitle,type,year,totalRating,totalRatingVotes,ratings,errorMessage
0,tt5491994,Planet Earth II,Planet Earth II (TV Series 2016–2016),TVSeries,2016,0,107575,"{'rating': '10', 'percent': '62.0%', 'votes': '66675'}",
1,tt5491994,Planet Earth II,Planet Earth II (TV Series 2016–2016),TVSeries,2016,0,107575,"{'rating': '9', 'percent': '19.8%', 'votes': '21327'}",
