id,rank,rankUpDown,title,fullTitle,year,image,crew,imDbRating,imDbRatingCount
tt8740976,1,0,Inventing Anna,Inventing Anna (2022),2022,"https://m.media-amazon.com/images/M/MV5BM2QzMWM5OTgtZDE1MC00ZmMyLWIyODItMmQ4NjNlZGRjYTUzXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_UX128_CR0,3,128,176_AL_.jpg","Anna Chlumsky, Julia Garner",6.9,28236
tt8772296,2,0,Euphoria,Euphoria (2019),2019,"https://m.media-amazon.com/images/M/MV5BMDMzZDkyNzEtYTY5Ni00NzlhLWI4MzUtY2UzNjNmMjI1YzIzXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UX128_CR0,3,128,176_AL_.jpg","Zendaya, Hunter Schafer",8.5,131887
tt13991232,3,+6,1883,1883 (2021),2021,"https://m.media-amazon.com/images/M/MV5BNDZkZDdkMjYtMGI3Yi00MmVkLTkzZjQtMGI0NGViNzIzNjhjXkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_UX128_CR0,3,128,176_AL_.jpg","Sam Elliott, Tim McGraw",9.1,37409
tt9288030,4,-1,Reacher,Reacher (2022),2022,"https://m.media-amazon.com/images/M/MV5BNzQ4MGYzYzAtNjJlOC00NTdkLTlmNTAtMmZjMzZmZTg2YTEzXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_UX128_CR0,3,128,176_AL_.jpg","Alan Ritchson, Malcolm Goodwin",8.3,70378
tt11280740,5,+16,Severance,Severance (2022),2022,"https://m.media-amazon.com/images/M/MV5BZjE2ZWQyNGItYjM2My00MzUyLWIzZDktM2RmNWZhZTU0YmVhXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_UX128_CR0,3,128,176_AL_.jpg","Adam Scott, Zach Cherry",8.1,3924
tt13146488,6,-1,Peacemaker,Peacemaker (2022),2022,"https://m.media-amazon.com/images/M/MV5BODk2NjAyOWMtM2FjZC00MjZhLTkxMjQtZTM3NjJlYTE5MDdlXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX128_CR0,3,128,176_AL_.jpg","John Cena, Danielle Brooks",8.5,63882
tt1520211,7,+5,The Walking Dead,The Walking Dead (2010),2010,"https://m.media-amazon.com/images/M/MV5BZmU5NTcwNjktODIwMi00ZmZkLTk4ZWUtYzVjZWQ5ZTZjN2RlXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX128_CR0,3,128,176_AL_.jpg","Andrew Lincoln, Norman Reedus",8.3,933269
tt13659418,8,-1,Pam & Tommy,Pam & Tommy (2022),2022,"https://m.media-amazon.com/images/M/MV5BMmYyMTE3ZDItOGQwZC00ODgwLTkzN2YtOTIxNTI1Yjg0ZjE0XkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_UX128_CR0,3,128,176_AL_.jpg","Lily James, Sebastian Stan",7.5,12671
tt2560140,9,-1,Attack on Titan,Attack on Titan (2013),2013,"https://m.media-amazon.com/images/M/MV5BNzc5MTczNDQtNDFjNi00ZDU5LWFkNzItOTE1NzQzMzdhNzMxXkEyXkFqcGdeQXVyNTgyNTA4MjM@._V1_UX128_CR0,3,128,176_AL_.jpg","Yûki Kaji, Marina Inoue",9.1,328699
tt4236770,10,+3,Yellowstone,Yellowstone (2018),2018,"https://m.media-amazon.com/images/M/MV5BZjhkNWM1NTQtODI4NS00NzllLTg1ODAtYjg3N2QxZjc3ZjRiXkEyXkFqcGdeQXVyNDIzMzcwNjc@._V1_UY176_CR0,0,128,176_AL_.jpg","Kevin Costner, Luke Grimes",8.9,101691
tt11311302,11,+94,Vikings: Valhalla,Vikings: Valhalla (2022),2022,"https://m.media-amazon.com/images/M/MV5BZjgwOGI3ZWEtNjBiMy00ZjM3LWFkNWYtNmU1MzY1ZGZkMDU2XkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_UX128_CR0,3,128,176_AL_.jpg","Sam Corlett, Leo Suter",7.0,12668
tt5071412,12,-2,Ozark,Ozark (2017),2017,"https://m.media-amazon.com/images/M/MV5BNGY3MmUzNjktZWEzNi00ODdiLTk4ZDItZjBhMjZlYzI0NTJjXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_UX128_CR0,3,128,176_AL_.jpg","Jason Bateman, Laura Linney",8.5,257682
tt5788792,13,+7,The Marvelous Mrs. Maisel,The Marvelous Mrs. Maisel (2017),2017,"https://m.media-amazon.com/images/M/MV5BMzk2ZmFhNjMtOWM2YS00MGU4LTk3ODMtY2Q2MjU2ODA0MDg4XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UX128_CR0,3,128,176_AL_.jpg","Rachel Brosnahan, Alex Borstein",8.7,101372
tt9612516,14,+35,Space Force,Space Force (2020),2020,"https://m.media-amazon.com/images/M/MV5BOGI3ZjYyOTktOWEzOC00NzhjLWEwODYtMWFiZDU5ZGRkMDE3XkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_UY176_CR6,0,128,176_AL_.jpg","Steve Carell, John Malkovich",6.7,57671
